Protein IDs,Majority protein IDs,Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Q-value,Score,WT_Rep1,WT_Rep2,WT_Rep3,WT_Rep4,WT_Rep5,Mut_Rep1,Mut_Rep2,Mut_Rep3,Mut_Rep4,Mut_Rep5
P21614,P21614,Vitamin D-binding protein,Gc,>sp|P21614|VTDB_MOUSE Vitamin D-binding protein OS=Mus musculus GN=Gc PE=1 SV=2,1,1,1,1,1.5,1.5,1.5,0.051789,1.0478,154999.2003,162567.0346,156280.9634,156477.2243,140294.9698,94212.26029,103888.5969,93605,88812.61778,100695.7532
A0A0A6YY28;Q8K1M3;P12367;A0A0A6YX73,A0A0A6YY28;Q8K1M3;P12367;A0A0A6YX73,cAMP-dependent protein kinase type II-alpha regulatory subunit,Prkar2a,">tr|A0A0A6YY28|A0A0A6YY28_MOUSE cAMP-dependent protein kinase type II-alpha regulatory subunit (Fragment) OS=Mus musculus GN=Prkar2a PE=1 SV=1;>tr|Q8K1M3|Q8K1M3_MOUSE Protein kinase, cAMP dependent regulatory, type II alpha OS=Mus musculus GN=Prkar2a PE=1 ",4,2,2,2,7.5,7.5,7.5,0.0014225,2.6415,140604.8849,143060.4997,133186.0757,134591.6922,133762.3043,110718.0782,113255.3572,112940,111379.4778,102348.923
B7FAV1;B7FAU9;Q8BTM8;F6XC15,B7FAV1;B7FAU9;Q8BTM8;F6XC15,Filamin-A,Flna,">tr|B7FAV1|B7FAV1_MOUSE Filamin, alpha (Fragment) OS=Mus musculus GN=Flna PE=1 SV=1;>tr|B7FAU9|B7FAU9_MOUSE Filamin, alpha OS=Mus musculus GN=Flna PE=1 SV=1;>sp|Q8BTM8|FLNA_MOUSE Filamin-A OS=Mus musculus GN=Flna PE=1 SV=5;>tr|F6XC15|F6XC15_MOUSE Filamin-A",4,3,1,1,0.9,0.3,0.3,0.024313,1.4337,126387.2642,144110.6581,148335.7294,133502.9829,112483.9402,70600.20408,90065.92056,91172,117369.9222,102959.0213
A0A0N4SVT3;A0A0N4SW28;Q9DAS9,A0A0N4SVT3;A0A0N4SW28;Q9DAS9,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,Gng12,>tr|A0A0N4SVT3|A0A0N4SVT3_MOUSE Guanine nucleotide-binding protein subunit gamma (Fragment) OS=Mus musculus GN=Gng12 PE=1 SV=1;>tr|A0A0N4SW28|A0A0N4SW28_MOUSE Guanine nucleotide-binding protein subunit gamma OS=Mus musculus GN=Gng12 PE=1 SV=1;>sp|Q9DAS9|GB,3,1,1,1,16.9,16.9,16.9,0,9.343,160880.6129,162881.4533,157027.9513,144550.9084,174336.5762,121268.2289,105219.6105,103650,110020.9306,104326.8225
Q543N3;Q61792;A2A6H1;A2A6G5;E9Q0N6;A2A6G6;A2A6G7;A2A6G8;A2A6G9;A2A6H0,Q543N3;Q61792;A2A6H1;A2A6G5;E9Q0N6;A2A6G6;A2A6G7;A2A6G8;A2A6G9;A2A6H0,LIM and SH3 domain protein 1,Lasp1,>tr|Q543N3|Q543N3_MOUSE LIM and SH3 domain protein 1 OS=Mus musculus GN=Lasp1 PE=1 SV=1;>sp|Q61792|LASP1_MOUSE LIM and SH3 domain protein 1 OS=Mus musculus GN=Lasp1 PE=1 SV=1;>tr|A2A6H1|A2A6H1_MOUSE LIM and SH3 domain protein 1 (Fragment) OS=Mus musculus G,10,2,2,2,7.2,7.2,7.2,0,5.0771,97100.1016,95841.10222,95256.38025,105994.5145,101734.6217,115427.6187,114775.0967,114670,116728.0889,105576.5402
Q5NCI4;O70250,Q5NCI4;O70250,Phosphoglycerate mutase 2,Pgam2,>tr|Q5NCI4|Q5NCI4_MOUSE Phosphoglycerate mutase 2 OS=Mus musculus GN=Pgam2 PE=1 SV=1;>sp|O70250|PGAM2_MOUSE Phosphoglycerate mutase 2 OS=Mus musculus GN=Pgam2 PE=1 SV=3,2,4,1,1,17,4.7,4.7,0,4.6728,78054.92667,75416.46473,83915.74703,75931.29066,83854.75404,106769.0847,117953.6368,111580,121413.4722,105655.2626
Q3V1K9;P31001,Q3V1K9;P31001,Desmin,Des,>tr|Q3V1K9|Q3V1K9_MOUSE Desmin OS=Mus musculus GN=Des PE=1 SV=1;>sp|P31001|DESM_MOUSE Desmin OS=Mus musculus GN=Des PE=1 SV=3,2,5,1,1,8.1,1.9,1.9,0.0094563,1.8638,92304.09996,94269.00882,88033.44021,94686.78339,94056.53702,116773.2017,114487.0415,117630,129650.3333,106540.8892
Q80YS5,Q80YS5,Leucine-rich repeat-containing protein 27,Lrrc27,>sp|Q80YS5|LRC27_MOUSE Leucine-rich repeat-containing protein 27 OS=Mus musculus GN=Lrrc27 PE=2 SV=1,1,1,1,1,1.5,1.5,1.5,0.013529,1.7007,63761.57968,53077.01747,53989.31613,58180.37973,60890.98742,107627.1376,107871.7049,106290,115604.8806,108085.8158
A0A0R4J1F6;A0A0R4J085;Q3UHZ7;Q91YN5-2;Q91YN5-3;Q91YN5,A0A0R4J1F6;A0A0R4J085;Q3UHZ7;Q91YN5-2;Q91YN5-3;Q91YN5,UDP-N-acetylhexosamine pyrophosphorylase;UDP-N-acetylgalactosamine pyrophosphorylase;UDP-N-acetylglucosamine pyrophosphorylase,Uap1,>tr|A0A0R4J1F6|A0A0R4J1F6_MOUSE UDP-N-acetylhexosamine pyrophosphorylase OS=Mus musculus GN=Uap1 PE=1 SV=1;>tr|A0A0R4J085|A0A0R4J085_MOUSE UDP-N-acetylhexosamine pyrophosphorylase OS=Mus musculus GN=Uap1 PE=1 SV=1;>tr|Q3UHZ7|Q3UHZ7_MOUSE UDP-N-acetylhexosa,6,1,1,1,1.4,1.4,1.4,0.013378,1.6831,99245.68128,111021.2361,109887.4639,91346.42519,100117.1891,117075.4703,110146.3477,115400,114556.5528,108174.3784
Q9QYJ0,Q9QYJ0,DnaJ homolog subfamily A member 2,Dnaja2,>sp|Q9QYJ0|DNJA2_MOUSE DnaJ homolog subfamily A member 2 OS=Mus musculus GN=Dnaja2 PE=1 SV=1,1,1,1,1,2.4,2.4,2.4,0.0014045,2.6185,131410.4449,131395.5666,139705.2421,134041.1517,123724.1526,89751.36017,104524.3049,103530,98817.72972,108253.1008
A0A140LIZ5;P54775,A0A140LIZ5;P54775,26S protease regulatory subunit 6B,Psmc4,>tr|A0A140LIZ5|A0A140LIZ5_MOUSE 26S protease regulatory subunit 6B OS=Mus musculus GN=Psmc4 PE=1 SV=1;>sp|P54775|PRS6B_MOUSE 26S protease regulatory subunit 6B OS=Mus musculus GN=Psmc4 PE=1 SV=2,2,2,1,1,5.4,3.6,3.6,0,10.935,110573.0799,109989.9428,112412.4062,107423.4455,112515.4077,100528.6998,98816.83879,105070,103759.8464,108617.1918
A2ASM2;A2ASM1;A2ASM0;A2ASL8;Q7TQ95,A2ASM2;A2ASM1;A2ASM0;A2ASL8;Q7TQ95,Protein lunapark,Lnp,>tr|A2ASM2|A2ASM2_MOUSE Protein lunapark (Fragment) OS=Mus musculus GN=Lnp PE=1 SV=1;>tr|A2ASM1|A2ASM1_MOUSE Protein lunapark (Fragment) OS=Mus musculus GN=Lnp PE=1 SV=1;>tr|A2ASM0|A2ASM0_MOUSE Protein lunapark (Fragment) OS=Mus musculus GN=Lnp PE=1 SV=7;>,5,1,1,1,19.4,19.4,19.4,0.031665,1.305,195878.8038,201775.0441,189864.5479,180756.6798,178112.6834,102108.2973,113990.3946,108080,100372.0361,108991.123
D3Z7M9;O35381;F6UFG6;D3YYE1;Q9EST5;Q9EST5-2;Q64G17,D3Z7M9;O35381;F6UFG6;D3YYE1;Q9EST5;Q9EST5-2,Acidic leucine-rich nuclear phosphoprotein 32 family member A;Acidic leucine-rich nuclear phosphoprotein 32 family member B,Anp32a;Anp32b,>tr|D3Z7M9|D3Z7M9_MOUSE Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Mus musculus GN=Anp32a PE=1 SV=1;>sp|O35381|AN32A_MOUSE Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Mus musculus GN=Anp32a PE=1 SV=1;>tr|F6UFG6|F6,7,3,3,3,11.6,11.6,11.6,0,3.9623,256302.1139,231273.8047,248759.2898,238489.2041,232029.2008,122545.5577,120039.5538,108900,121424.1694,109443.7767
Q91VR5,Q91VR5,ATP-dependent RNA helicase DDX1,Ddx1,>sp|Q91VR5|DDX1_MOUSE ATP-dependent RNA helicase DDX1 OS=Mus musculus GN=Ddx1 PE=1 SV=1,1,1,1,1,1.1,1.1,1.1,0.012821,1.8211,117274.8611,122076.1969,116789.3844,113862.9138,118689.343,105374.7487,119989.8891,109590,109197.2444,109876.7497
Q545I6;Q9WUU7,Q545I6;Q9WUU7,Cathepsin Z,Ctsz,>tr|Q545I6|Q545I6_MOUSE Cathepsin Z OS=Mus musculus GN=Ctsz PE=1 SV=1;>sp|Q9WUU7|CATZ_MOUSE Cathepsin Z OS=Mus musculus GN=Ctsz PE=1 SV=1,2,1,1,1,5.2,5.2,5.2,0.0094675,1.8885,60689.61442,64210.58295,65160.79673,67605.13854,76321.42017,108475.4399,111904.4777,110160,106930.5031,110004.6736
Q9CR11,Q9CR11,YEATS domain-containing protein 4,Yeats4,>sp|Q9CR11|YETS4_MOUSE YEATS domain-containing protein 4 OS=Mus musculus GN=Yeats4 PE=2 SV=1,1,1,1,1,5.3,5.3,5.3,1,-2,6272.475985,7034.80356,5417.884113,7403.842101,6545.252492,57033.21737,106500.9595,115020,95510.14861,110988.7032
A4QPC5;P21844,A4QPC5;P21844,Chymase,Cma1,>tr|A4QPC5|A4QPC5_MOUSE Chymase OS=Mus musculus GN=Cma1 PE=1 SV=1;>sp|P21844|CMA1_MOUSE Chymase OS=Mus musculus GN=Cma1 PE=1 SV=2,2,1,1,1,5.8,5.8,5.8,0,2.7512,78048.61614,85138.29033,79841.26803,81115.03172,88354.61513,122730.8191,112103.1364,112320,122504.5889,111825.1284
Q9DCL9,Q9DCL9,Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase,Paics,>sp|Q9DCL9|PUR6_MOUSE Multifunctional protein ADE2 OS=Mus musculus GN=Paics PE=1 SV=4,1,1,1,1,2.4,2.4,2.4,0.015284,1.5821,131908.9766,133892.0509,131340.2132,132593.6632,131175.6709,100167.9276,124837.1628,109880,120236.7778,112494.2686
A0A140T8P3,A0A140T8P3,,,>tr|A0A140T8P3|A0A140T8P3_MOUSE Protein Igkv15-103 (Fragment) OS=Mus musculus GN=Igkv15-103 PE=4 SV=1,1,1,1,1,9.5,9.5,9.5,0.007177,1.9223,104414.0041,110681.6639,100435.9073,115403.1901,117927.8281,228680.8533,100481.5992,120980,137448.6083,112572.9909
Q61133,Q61133,Glutathione S-transferase theta-2,Gstt2,>sp|Q61133|GSTT2_MOUSE Glutathione S-transferase theta-2 OS=Mus musculus GN=Gstt2 PE=1 SV=4,1,2,1,1,8.6,5.7,5.7,0.002594,2.3329,123124.721,135797.4282,124765.4857,138371.2457,136223.0675,132052.394,108686.2058,108150,100068.235,113124.0475
P50404,P50404,Pulmonary surfactant-associated protein D,Sftpd,>sp|P50404|SFTPD_MOUSE Pulmonary surfactant-associated protein D OS=Mus musculus GN=Sftpd PE=1 SV=1,1,1,1,1,2.7,2.7,2.7,0.031762,1.315,79165.57968,71555.40333,80896.9285,79407.73753,78467.50776,105062.7295,106659.8865,120990,116546.2361,113468.4579
O88374;Q3ULU3;O35855,O88374;Q3ULU3;O35855,"Branched-chain-amino-acid aminotransferase;Branched-chain-amino-acid aminotransferase, mitochondrial",Bcat2,>tr|O88374|O88374_MOUSE Branched-chain-amino-acid aminotransferase OS=Mus musculus GN=Bcat2 PE=1 SV=1;>tr|Q3ULU3|Q3ULU3_MOUSE Branched-chain-amino-acid aminotransferase OS=Mus musculus GN=Bcat2 PE=1 SV=1;>sp|O35855|BCAT2_MOUSE Branched-chain-amino-acid ami,3,1,1,1,3.7,3.7,3.7,0,3.1587,182361.6518,175980.1355,184154.1039,181962.9202,176023.2375,143129.0771,113285.156,110510,123338.9722,114157.2787
Q91YQ5,Q91YQ5,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,Rpn1,>sp|Q91YQ5|RPN1_MOUSE Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Mus musculus GN=Rpn1 PE=1 SV=1,1,2,2,2,2.3,2.3,2.3,0.0061805,2.0766,458649.2093,471288.4487,459866.6896,454332.0167,437298.3886,133836.754,130518.8032,111350,138967.6139,114698.495
B2KF55;A6X925;Q9D2M8-2;Q9D2M8,B2KF55;A6X925;Q9D2M8-2;Q9D2M8,Ubiquitin-conjugating enzyme E2 variant 2,Ube2v2,>tr|B2KF55|B2KF55_MOUSE Ubiquitin-conjugating enzyme E2 variant 2 OS=Mus musculus GN=Ube2v2 PE=1 SV=1;>tr|A6X925|A6X925_MOUSE Ubiquitin-conjugating enzyme E2 variant 2 OS=Mus musculus GN=Ube2v2 PE=1 SV=1;>sp|Q9D2M8-2|UB2V2_MOUSE Isoform 2 of Ubiquitin-conj,4,1,1,1,11.1,11.1,11.1,0.045323,1.1287,95213.25358,92017.77106,94873.62616,92484.62132,99664.05622,105599.0125,107911.4367,108050,111358.0833,115131.468
Q3V002;P47212,Q3V002;P47212,Galanin peptides;Galanin;Galanin message-associated peptide,Gal,>tr|Q3V002|Q3V002_MOUSE Galanin peptides OS=Mus musculus GN=Gal PE=1 SV=1;>sp|P47212|GALA_MOUSE Galanin peptides OS=Mus musculus GN=Gal PE=2 SV=1,2,1,1,1,18.5,18.5,18.5,0,5.311,70192.00819,66461.82071,72612.15454,68737.14882,73552.27488,106223.051,112689.1798,104750,108106.1278,115534.9201
P70168,P70168,Importin subunit beta-1,Kpnb1,>sp|P70168|IMB1_MOUSE Importin subunit beta-1 OS=Mus musculus GN=Kpnb1 PE=1 SV=2,1,1,1,1,1.4,1.4,1.4,0,6.3619,177414.1975,181237.2159,169424.245,176723.5065,163706.8345,120897.706,120556.0665,117390,117327.1333,115574.2813
V9GWS9;S4R279;E9Q0J3;G3UZZ3;A0A0J9YUE9;Q3T9X3;E9QLL2;A0A0J9YUN4;Q3TCR7;G3X9G4;F8WIV5;P09922;P39053-5;P39053-3;Q8BZ98-2;Q8BZ98;P39053-6;P39053-4;P39054-2;P39053;P39054,V9GWS9;S4R279;E9Q0J3;G3UZZ3;A0A0J9YUE9;Q3T9X3;E9QLL2;A0A0J9YUN4;Q3TCR7;G3X9G4;F8WIV5;P09922;P39053-5;P39053-3;Q8BZ98-2;Q8BZ98;P39053-6;P39053-4;P39054-2;P39053;P39054,Interferon-induced GTP-binding protein Mx1;Dynamin-1;Dynamin-3;Dynamin-2,Mx1;Dnm2;Dnm3;Dnm1,>tr|V9GWS9|V9GWS9_MOUSE Interferon-induced GTP-binding protein Mx1 OS=Mus musculus GN=Mx1 PE=3 SV=1;>tr|S4R279|S4R279_MOUSE Interferon-induced GTP-binding protein Mx1 OS=Mus musculus GN=Mx1 PE=3 SV=1;>tr|E9Q0J3|E9Q0J3_MOUSE Interferon-induced GTP-binding p,21,1,1,1,4.2,4.2,4.2,0.01826,1.5239,190647.3757,195499.2472,195420.6557,189058.0885,216219.8987,133368.7252,142776.0485,142420,147011.925,116007.2544
A0A0G2JGY8;A0A0G2JEY6;Q9D1R9;D3YWC0,A0A0G2JGY8;A0A0G2JEY6;Q9D1R9;D3YWC0,60S ribosomal protein L34,Rpl34;Gm2178,>tr|A0A0G2JGY8|A0A0G2JGY8_MOUSE 60S ribosomal protein L34 (Fragment) OS=Mus musculus GN=Rpl34 PE=1 SV=3;>tr|A0A0G2JEY6|A0A0G2JEY6_MOUSE 60S ribosomal protein L34 OS=Mus musculus GN=Rpl34 PE=1 SV=1;>sp|Q9D1R9|RL34_MOUSE 60S ribosomal protein L34 OS=Mus musc,4,2,2,2,30,30,30,0,5.3085,261905.8632,261420.2678,265791.8467,261160.3389,261023.4107,137259.2151,124300.7841,116680,117455.5,116686.2348
E9PVM2;E9PZB0;E9PUH5;A0A0R4J1G5,E9PVM2;E9PZB0;E9PUH5;A0A0R4J1G5,,Erlin1,>tr|E9PVM2|E9PVM2_MOUSE Erlin-1 (Fragment) OS=Mus musculus GN=Erlin1 PE=4 SV=1;>tr|E9PZB0|E9PZB0_MOUSE Erlin-1 OS=Mus musculus GN=Erlin1 PE=1 SV=1;>tr|E9PUH5|E9PUH5_MOUSE Erlin-1 (Fragment) OS=Mus musculus GN=Erlin1 PE=1 SV=1;>tr|A0A0R4J1G5|A0A0R4J1G5_MOUS,4,1,1,1,30.4,30.4,30.4,0.03186,1.3198,354689.5633,385527.6094,382402.201,362602.0689,375559.0358,148774.6753,152361.3335,133180,129800.0944,116735.4363
Q4FJX4;P97315,Q4FJX4;P97315,Cysteine and glycine-rich protein 1,Csrp1,>tr|Q4FJX4|Q4FJX4_MOUSE Csrp1 protein OS=Mus musculus GN=Csrp1 PE=1 SV=1;>sp|P97315|CSRP1_MOUSE Cysteine and glycine-rich protein 1 OS=Mus musculus GN=Csrp1 PE=1 SV=3,2,1,1,1,4.7,4.7,4.7,0.0025445,2.2363,93736.58992,92910.72012,93101.84514,95379.59843,113006.3017,117582.5016,109550.3714,132460,116760.1806,117296.3332
Q3UHY8;P61222,Q3UHY8;P61222,ATP-binding cassette sub-family E member 1,Abce1,>tr|Q3UHY8|Q3UHY8_MOUSE ATP-binding cassette sub-family E member 1 OS=Mus musculus GN=Abce1 PE=1 SV=1;>sp|P61222|ABCE1_MOUSE ATP-binding cassette sub-family E member 1 OS=Mus musculus GN=Abce1 PE=1 SV=1,2,1,1,1,1.3,1.3,1.3,0.0013643,2.5146,111349.2749,123585.4066,112301.2841,110435.9537,107593.8814,123822.8864,115837.9211,118380,111293.9,117434.0974
P43276,P43276,Histone H1.5,Hist1h1b,>sp|P43276|H15_MOUSE Histone H1.5 OS=Mus musculus GN=Hist1h1b PE=1 SV=2,1,3,1,1,12.1,4.9,4.9,0,4.3002,119906.3515,114379.2276,113282.8631,113163.9129,111023.8454,111293.3637,111695.886,104770,108234.4944,117748.9868
E9PUV4;Q5SUR3;Q9WTX5,E9PUV4;Q5SUR3;Q9WTX5,S-phase kinase-associated protein 1,Skp1a;Skp1,">tr|E9PUV4|E9PUV4_MOUSE S-phase kinase-associated protein 1 (Fragment) OS=Mus musculus GN=Skp1a PE=1 SV=1;>tr|Q5SUR3|Q5SUR3_MOUSE MCG3634, isoform CRA_b OS=Mus musculus GN=Skp1a PE=1 SV=1;>sp|Q9WTX5|SKP1_MOUSE S-phase kinase-associated protein 1 OS=Mus mus",3,1,1,1,8.3,8.3,8.3,0.0026076,2.3422,262145.6633,257150.4621,246931.9477,247656.6316,232022.9073,128785.9425,127072.0738,114730,118546.6167,118093.3972
Q6W8Q3,Q6W8Q3,Purkinje cell protein 4-like protein 1,Pcp4l1,>sp|Q6W8Q3|PC4L1_MOUSE Purkinje cell protein 4-like protein 1 OS=Mus musculus GN=Pcp4l1 PE=1 SV=1,1,1,1,1,11.8,11.8,11.8,0.0062893,2.148,204448.5014,208226.9154,195099.6361,199252.3669,188893.4695,135981.8863,138574.4158,131560,134089.6806,119008.5448
F6QD74;A0A0U1RQ05;A0A0R4J119;Q7TMB8-2;Q7TMB8;Q5SQX6,F6QD74;A0A0U1RQ05;A0A0R4J119;Q7TMB8-2;Q7TMB8;Q5SQX6,Cytoplasmic FMR1-interacting protein 1;Cytoplasmic FMR1-interacting protein 2,Cyfip2;Cyfip1,>tr|F6QD74|F6QD74_MOUSE Cytoplasmic FMR1-interacting protein 2 (Fragment) OS=Mus musculus GN=Cyfip2 PE=1 SV=1;>tr|A0A0U1RQ05|A0A0U1RQ05_MOUSE Cytoplasmic FMR1-interacting protein 1 (Fragment) OS=Mus musculus GN=Cyfip1 PE=1 SV=1;>tr|A0A0R4J119|A0A0R4J119_MO,6,1,1,1,0.6,0.6,0.6,0.031828,1.319,173810.8857,174087.3351,168603.1757,170952.1099,170434.5988,148764.9247,127618.3853,121350,136967.2333,119097.1074
H7BX22;P34022,H7BX22;P34022,Ran-specific GTPase-activating protein,Ranbp1,>tr|H7BX22|H7BX22_MOUSE Ran-specific GTPase-activating protein OS=Mus musculus GN=Ranbp1 PE=1 SV=1;>sp|P34022|RANG_MOUSE Ran-specific GTPase-activating protein OS=Mus musculus GN=Ranbp1 PE=1 SV=2,2,1,1,1,5.9,5.9,5.9,0,3.3403,138364.6473,143324.6114,137902.5938,144934.431,142120.0882,122730.8191,105338.8058,117040,99127.94917,119146.3089
Q8JZV7,Q8JZV7,Putative N-acetylglucosamine-6-phosphate deacetylase,Amdhd2,>sp|Q8JZV7|NAGA_MOUSE N-acetylglucosamine-6-phosphate deacetylase OS=Mus musculus GN=Amdhd2 PE=1 SV=1,1,1,1,1,1.5,1.5,1.5,0.038229,1.2569,494524.5637,491052.807,497845.7727,504406.4605,493348.4066,151865.6159,148119.969,115480,117252.2528,119746.567
E9Q1Z0,E9Q1Z0,,4732456N10Rik,>tr|E9Q1Z0|E9Q1Z0_MOUSE Protein Krt90 OS=Mus musculus GN=Krt90 PE=1 SV=1,1,8,1,1,13.4,2.2,2.2,0.0013908,2.5894,343172.8488,348677.74,346762.8567,331023.3122,328710.1324,129078.4606,134323.1184,101020,112213.8611,120533.7907
Q8C605;Q9WUA3-2;Q9WUA3;D3YUA3,Q8C605;Q9WUA3-2;Q9WUA3,"6-phosphofructokinase;ATP-dependent 6-phosphofructokinase, platelet type",Pfkp,">tr|Q8C605|Q8C605_MOUSE ATP-dependent 6-phosphofructokinase OS=Mus musculus GN=Pfkp PE=1 SV=1;>sp|Q9WUA3-2|PFKAP_MOUSE Isoform 2 of ATP-dependent 6-phosphofructokinase, platelet type OS=Mus musculus GN=Pfkp;>sp|Q9WUA3|PFKAP_MOUSE ATP-dependent 6-phosphofru",4,3,2,2,3.6,2.4,2.4,0,4.0136,108875.5477,107015.5421,105763.5973,105747.0806,107826.7413,104623.9524,109033.8587,124840,121873.4528,120750.2772
P13541;A2AQP0;F6VDD7;M0QWL0;REV__E9PUM5;REV__E9Q8B6;REV__A0A0A6YWP4;REV__E9Q8B5;REV__D6RGQ0;REV__E9Q8H9;REV__P06909;REV__E9Q8I0;E9Q264;Q9D4H2,P13541,Myosin-3,Myh3,>sp|P13541|MYH3_MOUSE Myosin-3 OS=Mus musculus GN=Myh3 PE=2 SV=2,14,12,1,1,5.7,0.7,0.7,0.022388,1.4766,324891.2478,334239.6342,328532.6499,317482.4898,318338.4246,136527.92,138306.2265,116090,120514.9056,121439.098
E0CZC5;P70274,E0CZC5;P70274,Selenoprotein P,Sepp1,>tr|E0CZC5|E0CZC5_MOUSE Selenoprotein P (Fragment) OS=Mus musculus GN=Sepp1 PE=1 SV=1;>sp|P70274|SEPP1_MOUSE Selenoprotein P OS=Mus musculus GN=Sepp1 PE=1 SV=3,2,1,1,1,4,4,4,0.013423,1.6906,92682.73167,102318.127,92447.45912,96833.27283,88184.69031,117962.775,102329.1256,109400,113861.2333,122157.4396
Q3UHW9;P45591,Q3UHW9;P45591,Cofilin-2,Cfl2,>tr|Q3UHW9|Q3UHW9_MOUSE Cofilin-2 OS=Mus musculus GN=Cfl2 PE=1 SV=1;>sp|P45591|COF2_MOUSE Cofilin-2 OS=Mus musculus GN=Cfl2 PE=1 SV=1,2,3,1,1,15.7,4.8,4.8,0.013937,1.7895,166957.6518,153002.4184,154175.816,158462.8817,157325.2133,126153.2802,122026.1413,113640,141524.25,122265.6829
P42125,P42125,"Enoyl-CoA delta isomerase 1, mitochondrial",Eci1,">sp|P42125|ECI1_MOUSE Enoyl-CoA delta isomerase 1, mitochondrial OS=Mus musculus GN=Eci1 PE=1 SV=2",1,1,1,1,2.8,2.8,2.8,0.0026631,2.3914,201943.2216,192707.2093,222571.5021,195027.4323,194085.6169,242292.6927,152321.6018,169500,171636.9306,122659.2947
E9PZQ9;E9Q4R2;E9PYY0;E9Q3Y1;E9Q6X2;E9Q108;E9Q0P9;K7E6F1;Q4FJQ6;F8WIV2;Q60854,E9PZQ9;E9Q4R2;E9PYY0;E9Q3Y1;E9Q6X2;E9Q108;E9Q0P9;K7E6F1;Q4FJQ6;F8WIV2;Q60854,Serpin B6,Serpinb6a;Serpinb6,>tr|E9PZQ9|E9PZQ9_MOUSE Serpin B6 (Fragment) OS=Mus musculus GN=Serpinb6a PE=1 SV=1;>tr|E9Q4R2|E9Q4R2_MOUSE Serpin B6 (Fragment) OS=Mus musculus GN=Serpinb6a PE=1 SV=7;>tr|E9PYY0|E9PYY0_MOUSE Serpin B6 (Fragment) OS=Mus musculus GN=Serpinb6a PE=1 SV=1;>tr|,11,1,1,1,22.1,22.1,22.1,0,3.5986,150676.4883,141689.6342,153027.5537,155821.5244,154625.2966,125734.0043,126952.8785,128410,128302.4833,123298.914
Q3UNI8;O35215,Q3UNI8;O35215,D-dopachrome decarboxylase,Ddt,>tr|Q3UNI8|Q3UNI8_MOUSE D-dopachrome decarboxylase OS=Mus musculus GN=Ddt PE=1 SV=1;>sp|O35215|DOPD_MOUSE D-dopachrome decarboxylase OS=Mus musculus GN=Ddt PE=1 SV=3,2,2,2,2,17.8,17.8,17.8,0,11.152,244059.6887,234826.7358,222911.042,217853.2134,230235.5499,117709.2594,159354.1217,140090,127810.4111,123584.2826
Q3UBT1;P62960;A2BGG7;Q9JKB3-2;Q9JKB3,Q3UBT1;P62960;A2BGG7,Nuclease-sensitive element-binding protein 1,Ybx1,>tr|Q3UBT1|Q3UBT1_MOUSE Nuclease-sensitive element-binding protein 1 OS=Mus musculus GN=Ybx1 PE=1 SV=1;>sp|P62960|YBOX1_MOUSE Nuclease-sensitive element-binding protein 1 OS=Mus musculus GN=Ybx1 PE=1 SV=3;>tr|A2BGG7|A2BGG7_MOUSE Nuclease-sensitive element-,5,3,3,3,14,14,14,0,6.4474,199753.4683,191543.8602,195371.268,205067.0645,239424.0775,163644.3423,131065.1148,141160,140775.4444,123702.3662
A2BDP2;Q3V0C5-2,A2BDP2;Q3V0C5-2,,Usp48,>tr|A2BDP2|A2BDP2_MOUSE Ubiquitin carboxyl-terminal hydrolase 48 (Fragment) OS=Mus musculus GN=Usp48 PE=1 SV=1;>sp|Q3V0C5-2|UBP48_MOUSE Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 48 OS=Mus musculus GN=Usp48,2,1,1,1,6.1,6.1,6.1,0.051948,1.0103,11594.33396,9394.830176,11613.49984,11876.21059,13578.88152,95176.59476,97317.95847,107960,102864.4889,124174.7004
Q9EPL2-2;Q9EPL2,Q9EPL2-2;Q9EPL2,Calsyntenin-1;Soluble Alc-alpha;CTF1-alpha,Clstn1,>sp|Q9EPL2-2|CSTN1_MOUSE Isoform 2 of Calsyntenin-1 OS=Mus musculus GN=Clstn1;>sp|Q9EPL2|CSTN1_MOUSE Calsyntenin-1 OS=Mus musculus GN=Clstn1 PE=1 SV=1,2,3,3,3,3.1,3.1,3.1,0,5.3366,112321.0963,114649.6277,121684.9327,118316.7248,116014.6004,127635.3716,124251.1194,145410,145984.9917,124804.4794
P23116,P23116,Eukaryotic translation initiation factor 3 subunit A,Eif3a,>sp|P23116|EIF3A_MOUSE Eukaryotic translation initiation factor 3 subunit A OS=Mus musculus GN=Eif3a PE=1 SV=5,1,1,1,1,0.5,0.5,0.5,0.011696,1.8301,233458.0008,221904.128,249574.1856,233757.03,240972.2814,179245.3045,142319.1334,114060,151836.3722,127333.4355
